upstream_station,origin_station,net_km,euc_km,med_abs_lag,n_events
9064,9065,7.408210910068511,14.928935996915522,3.0,19
9063,9101,17.55528549757382,16.625562396502563,9.0,5
9079,9065,23.00667971026742,18.697027491021135,8.0,18
9036,9120,25.93220653555168,28.529624918670066,69.0,9
9004,9002,26.59111319725784,17.35008040327191,3.0,25
9048,9038,27.967980200087144,27.978306542748435,14.0,9
9078,9005,35.174177124857366,28.032428524835304,14.0,15
9003,9002,35.362171506876614,30.058402568998908,4.5,16
9005,9002,41.926091053519414,18.485301539331186,22.5,16
9150,9004,45.19063189909387,49.111369783381114,12.0,15
9142,9036,50.69777284652107,25.41703375691192,20.0,11
9096,9025,55.40485735103804,50.260150480447294,11.0,17
9101,9005,61.684134698312434,47.143556346546454,98.0,14
9065,9005,61.684134698312434,42.71648939227099,9.0,19
9038,9120,65.6671502058613,40.40748866237544,77.5,12
9018,9101,67.4500312888448,54.057084235093555,7.0,2
9064,9005,69.09234560838095,57.614498210085976,11.0,13
9150,9002,71.78174509635171,65.79816365218713,31.0,20
9120,9002,73.67216745029543,49.57279295137606,4.0,20
9097,9025,75.03105787163338,49.17556004929674,20.0,6
9142,9120,76.62997938207275,49.07786169954841,36.0,9
9078,9002,77.10026817837678,46.342647421138984,18.5,12
9063,9005,79.23942019588627,62.25455774479488,16.0,17
9044,9002,83.55242575989546,53.342453533747396,14.0,19
9079,9005,84.69081440857987,51.49597523107995,21.5,16
9048,9120,93.63513040594847,50.38948665148317,30.0,8
9036,9002,99.60437398584709,70.23030793752794,9.5,14
9101,9002,103.61022575183185,62.676956307721255,211.5,8
9065,9002,103.61022575183185,59.24810590221429,5.0,18
9050,9120,104.68832948743383,66.58814318630607,40.5,10
9002,9011,107.1001105408333,88.93204377500834,2.0,43
9064,9002,111.01843666190037,73.83624140623628,7.5,14
9074,9120,114.90746688008302,63.76336779844678,7.0,13
9063,9002,121.16551124940568,76.29597054235565,4.5,14
9079,9002,126.61690546209928,69.71199324363062,2.0,13
9018,9005,129.13416598715725,93.86445052840826,15.0,12
9025,9027,130.57962423845385,71.5804835699961,13.0,22
9004,9011,133.6912237380911,105.46857370800082,4.0,26
9038,9002,139.33931765615674,88.83386390898463,25.0,19
9126,9011,141.2282534406869,85.34682299886738,18.0,21
9003,9011,142.46228204770992,118.88699333821172,6.0,21
9005,9011,149.02620159435273,99.22304730756862,27.0,21
9142,9002,150.30214683236815,77.1493811770386,31.0,14
9048,9002,167.3072978562439,89.81621236725584,7.5,16
9020,9096,170.2856451514485,116.64017068746085,15.0,10
9018,9002,171.06025704067667,103.81355738052714,15.5,14
9093,9120,175.73802732978956,105.33424529563023,52.5,10
9021,9096,175.9616714961821,116.67126512127997,27.0,10
9050,9002,178.36049693772924,114.26095903675936,18.0,13
9150,9011,178.88185563718505,148.53806028759092,46.5,16
9120,9011,180.77227799112873,138.16794790760989,8.0,27
9078,9011,184.2003787192101,121.65806077691687,33.5,14
9096,9027,185.98448158949185,111.86825502701855,8.0,11
9074,9002,188.57963433037844,113.25578651000575,5.0,14
9044,9011,190.6525363007288,130.21765661000046,20.0,16
9097,9027,205.6106821100872,118.44074193910826,38.0,8
9036,9011,206.70448452668043,154.65331315235377,11.0,19
9101,9011,210.71033629266515,109.77641270327611,145.5,14
9065,9011,210.71033629266515,112.5173800130451,9.5,22
9064,9011,218.1185472027337,119.49970475695746,11.0,16
9020,9025,225.69050250248654,166.33257437013722,17.0,13
9063,9011,228.265621790239,110.09524814904591,4.5,20
9021,9025,231.36652884722014,166.17276025750198,23.5,16
9079,9011,233.71701600293255,130.8941920331074,5.0,18
9013,9027,242.77948434708,155.45906246937824,25.0,23
9038,9011,246.43942819699004,175.90464332984504,50.0,19
9093,9002,249.410194780085,154.2177962525726,60.5,18
9142,9011,257.4022573732015,152.5729486442469,52.0,17
9040,9027,267.297329520012,184.17991171846228,11.0,13
9118,9027,273.80301195541966,104.00837836410149,37.0,9
9048,9011,274.40740839707723,170.6591124610696,22.0,18
9018,9011,278.16036758151,105.69726809146961,17.0,13
9050,9011,285.46060747856257,200.0369818058651,21.5,22
9074,9011,295.67974487121177,201.3058348384368,11.5,20
9011,9027,319.8348556256777,150.4984166320366,9.5,24
9124,9027,343.5851045118195,145.19768114019618,39.0,13
9020,9027,356.2701267409404,215.77992003763933,15.5,12
9093,9011,356.51030532091835,240.89204610571932,78.0,22
9021,9027,361.946153085674,214.73232670203626,17.5,8
9002,9027,426.93496616651095,239.37353553300343,8.0,15
9004,9027,453.52607936376893,255.66100887133737,10.5,14
9126,9027,461.0631090663647,203.06803078808366,16.0,19
9003,9027,462.2971376733877,269.2256445777966,7.5,12
9005,9027,468.86105722003043,248.41948146135812,14.0,14
9150,9027,498.71671126286276,295.93764676074926,9.0,13
9120,9027,500.6071336168065,288.66463794869304,15.0,15
9078,9027,504.0352343448879,267.76312621910813,12.5,14
9044,9027,510.48739192640653,278.1743531765825,5.0,13
9036,9027,526.5393401523581,304.09660354155557,21.0,11
9101,9027,530.545191918343,246.88396840104875,227.0,3
9065,9027,530.545191918343,251.6938987482812,10.0,13
9064,9027,537.9534028284115,253.42690370781477,25.0,15
9063,9027,548.1004774159169,240.3390062764886,7.0,11
9079,9027,553.5518716286105,270.2159528395576,10.5,10
9038,9027,566.2742838226679,326.0006557212578,32.0,14
9142,9027,577.2371129988793,298.9184639504392,26.0,12
9048,9027,594.2422640227551,318.49121761230725,18.5,14
9018,9027,597.9952232071878,215.80466514830033,12.0,11
9050,9027,605.2954631042404,349.5021693238685,15.0,9
9074,9027,615.5146004968896,351.64743737515,15.0,14
9093,9027,676.3451609465959,390.54993144740155,82.0,13
