pool_gap,min_duration,spearman_rho_n_events,spearman_p_n_events,spearman_rho_mean_severity,spearman_p_mean_severity
0,3,0.8609903098048246,1.2927279497692952e-10,0.9271390374331551,9.296304971807517e-15
0,5,0.6486577104726449,4.4511382945770554e-05,0.8910427807486632,3.6799611213381876e-12
0,7,0.4552451062405889,0.007765952779927098,0.8282085561497327,2.708309919094529e-09
0,10,0.29819895348474257,0.09187960792058175,0.7857620320855615,6.050655611882508e-08
5,3,0.9443607896607737,1.6050279483075289e-16,0.9655748663101605,1.0906419671489283e-19
5,5,0.9081248717214542,2.956846354984134e-13,0.9552139037433156,5.992848273813043e-18
5,7,0.8612412298484826,1.259320295743174e-10,0.9475267379679144,6.617789745154143e-17
5,10,0.8063688475237883,1.4723519773578426e-08,0.938168449197861,7.889098205191668e-16
7,3,0.9622783674280656,4.398986036370912e-19,0.9816176470588236,7.28356158472484e-24
7,5,0.9507072553809462,2.5670538015736545e-17,0.975601604278075,5.626790752294213e-22
7,7,0.9138840870387265,1.1292488122682351e-13,0.9595588235294118,1.269937345461308e-18
7,10,0.8340443358329281,1.6546566819765723e-09,0.9532085561497327,1.165302095456904e-17
10,3,0.9837738511680928,1.0687928497017246e-24,0.9906417112299466,2.2106971529097417e-28
10,5,1.0,0.0,1.0,0.0
10,7,0.9688729281915339,2.3423546796239162e-20,0.9762700534759359,3.675017630009599e-22
10,10,0.9062003465164792,4.0220007828049727e-13,0.9709224598930483,8.26604688094552e-21
15,3,0.939690509351832,5.418458002665597e-16,0.972927807486631,2.7686869371976902e-21
15,5,0.9420180854780412,2.992286804571343e-16,0.9669117647058825,5.957518887408029e-20
15,7,0.9059392358303007,4.1913010243615985e-13,0.9281417112299466,7.552577838150192e-15
15,10,0.8819887285521472,1.1884690869463675e-11,0.9321524064171123,3.189562279367524e-15
