pool_gap,min_duration,n_events,mean_duration,median_duration,mean_severity,median_severity,mean_intensity,median_intensity,mean_severity_hm3,median_severity_hm3,pct_change_n_events
0,3,5155,12.717361784675072,7.0,6.3969249272550925,2.1074,0.37961416100872936,0.2862,2.706553074684772,0.2303,96.38095238095238
0,5,3661,16.513520895930075,10.0,8.643081507784759,3.5426,0.42832097787489753,0.3379,3.6083656924337615,0.343,39.46666666666667
0,7,2739,20.249726177437022,13.0,10.97185717415115,5.2473,0.46477371303395404,0.3764,4.5952009857612275,0.4602,4.3428571428571425
0,10,1977,25.00101163378857,18.0,14.040942134547295,7.7137,0.497859028831563,0.4149,5.932740870005057,0.6424,-24.685714285714287
5,3,3700,21.40783783783784,12.0,9.225213189189189,2.5848500000000003,0.31158032432432436,0.2248,3.914546810810811,0.30889999999999995,40.95238095238095
5,5,3126,24.705374280230327,15.0,10.785918777991045,3.55545,0.3304384516954575,0.24755,4.569915355086373,0.4084,19.085714285714285
5,7,2671,27.987270685136654,17.0,12.408712354923251,4.73,0.3471014975664545,0.267,5.263202021714713,0.5187,1.7523809523809524
5,10,2115,33.249645390070924,22.0,15.186596028368795,6.7603,0.3775923404255319,0.2963,6.400978865248226,0.7347,-19.428571428571427
7,3,3361,24.84201130615888,14.0,10.181954894376673,2.8116,0.30130809282951504,0.2164,4.329724010711098,0.3283,28.038095238095238
7,5,2885,28.371230502599655,16.0,11.742419792027729,3.73,0.316628006932409,0.2345,4.98584266897747,0.4328,9.904761904761905
7,7,2520,31.694444444444443,20.0,13.2587626984127,4.8931000000000004,0.32844595238095237,0.24925,5.636899841269841,0.53655,-4.0
7,10,2088,36.59530651340996,24.0,15.63154841954023,6.5646,0.3498727490421456,0.27205,6.618601819923371,0.71025,-20.457142857142856
10,3,3000,29.497666666666667,16.0,11.420457066666668,3.0007,0.28169120000000003,0.20345,4.859090766666666,0.3456,14.285714285714286
10,5,2625,33.22095238095238,19.0,12.951777828571428,3.9369,0.29303066666666666,0.2183,5.508096342857144,0.4452,0.0
10,7,2333,36.70081440205744,23.0,14.417718602657525,5.0433,0.300927475353622,0.2288,6.137426746678096,0.5476,-11.123809523809523
10,10,2009,41.32752613240418,26.0,16.456733051269286,6.4877,0.31338312593330014,0.245,6.989554902936785,0.7103,-23.466666666666665
15,3,2539,38.269791256400154,21.0,13.51465356439543,3.3045,0.25896384403308387,0.1835,5.756125482473414,0.359,-3.276190476190476
15,5,2265,42.48388520971302,24.0,15.05973417218543,4.2639,0.26429293598233994,0.1926,6.415210684326711,0.4517,-13.714285714285714
15,7,2057,46.23334953816237,27.0,16.470392513368985,5.2975,0.27005838599902776,0.203,7.02017690811862,0.5655,-21.63809523809524
15,10,1834,50.87949836423119,31.0,18.26905817884406,6.71275,0.2773253544165758,0.2165,7.763675245365321,0.6771,-30.133333333333333
