station_id,event_id,start_date,end_date,duration,severity,intensity,peak_SSI,severity_hm3
9002,1,1964-11-22,1964-11-29,8,0.9431,0.1179,-1.4677,3.4819
9002,2,1965-06-15,1965-06-25,11,9.5252,0.8659,-2.9196,8.9683
9002,3,1965-07-09,1965-09-02,56,35.0754,0.6263,-2.7132,35.6547
9002,4,1965-09-14,1965-09-25,12,3.2518,0.271,-1.8347,3.24
9002,5,1982-04-15,1982-05-29,45,24.306,0.5401,-2.1486,82.296
9002,6,1982-06-16,1982-06-26,11,2.8621,0.2602,-1.8464,3.3696
9002,7,1983-12-06,1983-12-12,7,2.1459,0.3066,-1.7522,3.291
9002,8,1985-10-25,1985-11-07,14,1.5914,0.1137,-1.658,3.1951
9002,9,1985-11-22,1986-01-01,41,13.6438,0.3328,-2.2843,24.8651
9002,10,1986-06-16,1986-07-23,38,10.0585,0.2647,-2.2987,12.4969
9002,11,1986-08-08,1986-09-09,33,10.2599,0.3109,-2.4328,7.5997
9002,12,1986-11-06,1986-11-23,18,5.9954,0.3331,-2.0612,11.6614
9002,13,1986-12-05,1986-12-09,5,0.7443,0.1489,-1.6152,0.8035
9002,14,1987-05-02,1987-06-14,44,11.8382,0.269,-2.4368,20.3437
9002,15,1987-06-26,1987-07-03,8,4.621,0.5776,-2.3027,4.955
9002,16,1988-11-19,1989-04-06,139,62.7333,0.4513,-3.9219,240.9463
9002,17,1989-05-16,1989-05-29,14,3.1607,0.2258,-1.7384,6.9155
9002,18,1989-06-15,1989-07-04,20,5.0469,0.2523,-2.5776,5.5512
9002,19,1989-08-04,1989-11-05,94,22.8727,0.2433,-2.038,27.7811
9002,20,1989-11-19,1990-04-06,139,72.9548,0.5249,-3.7175,272.4434
9002,21,1990-05-07,1990-05-18,12,4.73,0.3942,-1.8934,13.7972
9002,22,1990-06-02,1990-06-11,10,1.4689,0.1469,-1.6674,2.7423
9002,23,1990-06-25,1990-10-29,127,75.9519,0.598,-3.2383,75.1041
9002,24,1990-11-16,1990-11-23,8,2.3811,0.2976,-1.7804,5.4458
9002,25,1991-08-20,1991-09-02,14,4.2326,0.3023,-1.8154,2.433
9002,26,1992-01-01,1992-03-24,84,39.1254,0.4658,-2.7524,192.9554
9002,27,1993-01-23,1993-02-28,37,5.6798,0.1535,-1.6506,39.7457
9002,28,1993-04-14,1993-04-23,10,0.1012,0.0101,-1.3174,0.769
9002,29,1994-08-20,1994-10-17,59,16.707,0.2832,-2.0447,15.6228
9002,30,1994-12-04,1994-12-20,17,10.9148,0.642,-2.1975,19.7493
9002,31,1995-04-07,1995-07-30,115,29.6363,0.2577,-2.2657,95.4279
9002,32,1995-08-15,1995-12-03,111,69.9676,0.6303,-3.2038,85.0556
9002,33,1995-12-15,1995-12-24,10,1.2584,0.1258,-1.6546,1.5155
9002,34,1996-05-29,1996-07-20,53,10.0688,0.19,-2.0213,14.2819
9002,35,1996-08-10,1996-09-17,39,8.6999,0.2231,-2.133,6.3521
9002,36,1997-03-10,1997-05-07,59,28.6566,0.4857,-2.5457,149.7347
9002,37,1997-06-22,1997-06-28,7,1.3511,0.193,-1.7108,1.9008
9002,38,1998-03-05,1998-03-09,5,0.4591,0.0918,-1.436,2.6974
9002,39,1998-07-11,1998-07-25,15,0.4607,0.0307,-1.4647,0.9504
9002,40,1999-06-23,1999-07-03,11,3.132,0.2847,-2.0342,3.8837
9002,41,1999-08-12,1999-09-05,25,2.005,0.0802,-1.7007,1.3807
9002,42,1999-10-11,1999-10-15,5,0.0856,0.0171,-1.3429,0.3767
9002,43,2000-01-29,2000-02-14,17,0.4961,0.0292,-1.4205,1.6304
9002,44,2000-03-01,2000-03-25,25,8.4145,0.3366,-1.8826,53.6829
9002,45,2000-09-03,2000-09-18,16,1.1091,0.0693,-1.5562,0.432
9002,46,2001-05-25,2001-06-23,30,3.4753,0.1158,-1.6292,6.2994
9002,47,2001-10-28,2001-11-10,14,3.4117,0.2437,-1.7457,6.2018
9002,48,2001-12-06,2002-02-06,63,31.9765,0.5076,-2.498,80.1697
9002,49,2002-03-24,2002-04-04,12,6.3687,0.5307,-1.978,38.5456
9002,50,2002-04-19,2002-05-04,16,11.59,0.7244,-2.326,50.1837
9002,51,2002-05-22,2002-06-04,14,4.2071,0.3005,-1.9831,7.1902
9002,52,2002-06-16,2002-08-01,47,10.9966,0.234,-2.6094,13.9942
9002,53,2002-08-16,2002-10-09,55,6.4877,0.118,-1.8545,6.3366
9002,54,2005-10-05,2005-10-10,6,1.6312,0.2719,-1.811,2.6542
9002,55,2006-02-12,2006-02-20,9,1.2956,0.144,-1.5081,9.5351
9002,56,2006-05-23,2006-06-09,18,5.0544,0.2808,-1.9991,8.7921
9002,57,2006-07-04,2006-07-16,13,0.6653,0.0512,-1.6768,1.1569
9002,58,2006-08-23,2006-09-01,10,0.3307,0.0331,-1.5356,0.1037
9002,59,2006-11-01,2006-11-17,17,1.4582,0.0858,-1.5764,3.9986
9002,60,2006-12-25,2007-01-31,38,21.7472,0.5723,-2.7077,55.722
9002,61,2007-10-24,2007-11-13,21,1.0899,0.0519,-1.4784,2.8858
9002,62,2007-12-25,2008-01-11,18,3.513,0.1952,-1.7014,6.7599
9002,63,2008-01-26,2008-03-20,55,24.6922,0.4489,-2.5116,120.0493
9002,64,2010-04-17,2010-04-29,13,0.53,0.0408,-1.4067,2.5039
9002,65,2011-01-24,2011-02-19,27,2.9771,0.1103,-1.6358,17.2368
9002,66,2011-04-15,2011-04-23,9,1.9458,0.2162,-1.6508,10.3922
9002,67,2011-05-19,2011-05-30,12,2.2649,0.1887,-1.7417,4.5567
9002,68,2011-10-27,2011-11-04,9,1.9633,0.2181,-1.6735,3.3679
9002,69,2011-11-21,2011-12-17,27,13.9167,0.5154,-2.6071,27.527
9002,70,2012-01-12,2012-01-29,18,5.519,0.3066,-2.0267,16.9992
9002,71,2012-03-11,2012-04-14,35,7.9071,0.2259,-2.0201,56.1738
9002,72,2012-06-02,2012-06-07,6,0.498,0.083,-1.5724,0.9452
9002,73,2012-08-22,2012-09-16,26,1.272,0.0489,-1.4837,0.413
9002,74,2013-01-10,2013-01-14,5,0.536,0.1072,-1.4838,0.3456
9002,75,2014-05-15,2014-05-20,6,0.4863,0.081,-1.4162,0.6774
9002,76,2015-12-15,2016-01-04,21,10.4208,0.4962,-2.0618,21.8851
9002,77,2016-10-30,2016-11-04,6,0.6025,0.1004,-1.4605,1.3807
9002,78,2016-12-08,2017-01-10,34,18.375,0.5404,-2.4169,39.8736
9002,79,2017-04-11,2017-11-05,209,176.3212,0.8436,-3.4363,269.7581
9002,80,2017-11-20,2017-11-30,11,2.7338,0.2485,-1.9487,6.8576
9002,81,2018-12-29,2019-01-21,24,13.5732,0.5655,-2.1626,37.298
9002,82,2019-03-27,2019-04-15,20,3.0868,0.1543,-1.5866,26.8021
9002,83,2019-05-08,2019-05-16,9,0.3825,0.0425,-1.451,1.1232
9002,84,2020-02-22,2020-02-28,7,1.4868,0.2124,-1.5801,13.1311
9002,85,2020-11-29,2020-12-04,6,0.981,0.1635,-1.5402,2.3449
9003,1,1961-03-30,1961-04-22,24,1.5735,0.0656,-1.5487,0.9958
9003,2,1964-01-22,1964-01-29,8,1.1167,0.1396,-1.7089,0.311
9003,3,1969-11-18,1969-12-01,14,1.4343,0.1025,-1.6342,0.381
9003,4,1970-07-13,1970-09-27,77,73.3732,0.9529,-2.6974,3.5083
9003,5,1970-12-01,1970-12-09,9,0.8493,0.0944,-1.4564,0.3034
9003,6,1970-12-22,1971-01-16,26,21.5862,0.8302,-2.5832,4.5686
9003,7,1971-03-11,1971-03-17,7,1.3645,0.1949,-1.6346,0.6821
9003,8,1973-09-22,1974-02-05,137,124.6303,0.9097,-3.5649,15.4734
9003,9,1974-04-23,1974-10-18,179,80.5703,0.4501,-3.4183,7.8669
9003,10,1975-01-06,1975-01-16,11,11.406,1.0369,-3.6742,1.9281
9003,11,1978-12-22,1978-12-30,9,0.3297,0.0366,-1.4076,0.0795
9003,12,1980-02-10,1980-02-21,12,2.6454,0.2205,-1.7165,0.5173
9003,13,1982-04-15,1982-07-11,88,38.0499,0.4324,-2.8659,7.2962
9003,14,1982-07-23,1982-07-28,6,0.4874,0.0812,-1.4561,0.0181
9003,15,1985-03-02,1985-03-13,12,1.3158,0.1097,-1.4998,0.7405
9003,16,1986-04-01,1986-04-05,5,0.7481,0.1496,-1.618,0.4213
9003,17,1986-08-02,1986-08-13,12,0.2246,0.0187,-1.4439,0.0084
9003,18,1986-11-23,1986-12-10,18,0.6465,0.0359,-1.435,0.2955
9003,19,1988-12-21,1989-02-25,67,29.3228,0.4377,-2.6819,6.7246
9003,20,1989-03-09,1989-04-04,27,19.5593,0.7244,-2.455,6.2929
9003,21,1989-05-28,1989-06-09,13,0.19,0.0146,-1.366,0.0325
9003,22,1989-06-23,1989-07-04,12,0.6205,0.0517,-1.4594,0.0285
9003,23,1989-08-05,1989-08-14,10,0.7365,0.0736,-1.6207,0.034
9003,24,1989-09-25,1989-10-10,16,8.5802,0.5363,-2.4455,0.5375
