origin_station,origin_event_id,duration,severity,intensity,connected
9002,1,8,0.9431,0.1179,True
9002,2,11,9.5252,0.8659,True
9002,3,56,35.0754,0.6263,True
9002,4,12,3.2518,0.271,True
9002,5,45,24.306,0.5401,True
9002,6,11,2.8621,0.2602,True
9002,7,7,2.1459,0.3066,True
9002,8,14,1.5914,0.1137,True
9002,9,41,13.6438,0.3328,True
9002,10,38,10.0585,0.2647,True
9002,11,33,10.2599,0.3109,True
9002,12,18,5.9954,0.3331,True
9002,13,5,0.7443,0.1489,True
9002,14,44,11.8382,0.269,True
9002,15,8,4.621,0.5776,True
9002,16,139,62.7333,0.4513,True
9002,17,14,3.1607,0.2258,True
9002,18,20,5.0469,0.2523,True
9002,19,94,22.8727,0.2433,True
9002,20,139,72.9548,0.5249,True
9002,21,12,4.73,0.3942,True
9002,22,10,1.4689,0.1469,True
9002,23,127,75.9519,0.598,True
9002,24,8,2.3811,0.2976,True
9002,25,14,4.2326,0.3023,True
9002,26,84,39.1254,0.4658,True
9002,27,37,5.6798,0.1535,True
9002,28,10,0.1012,0.0101,True
9002,29,59,16.707,0.2832,True
9002,30,17,10.9148,0.642,True
9002,31,115,29.6363,0.2577,True
9002,32,111,69.9676,0.6303,True
9002,33,10,1.2584,0.1258,True
9002,34,53,10.0688,0.19,True
9002,35,39,8.6999,0.2231,True
9002,36,59,28.6566,0.4857,True
9002,37,7,1.3511,0.193,False
9002,38,5,0.4591,0.0918,True
9002,39,15,0.4607,0.0307,True
9002,40,11,3.132,0.2847,True
9002,41,25,2.005,0.0802,True
9002,42,5,0.0856,0.0171,True
9002,43,17,0.4961,0.0292,True
9002,44,25,8.4145,0.3366,True
9002,45,16,1.1091,0.0693,True
9002,46,30,3.4753,0.1158,True
9002,47,14,3.4117,0.2437,True
9002,48,63,31.9765,0.5076,True
9002,49,12,6.3687,0.5307,True
9002,50,16,11.59,0.7244,True
9002,51,14,4.2071,0.3005,True
9002,52,47,10.9966,0.234,True
9002,53,55,6.4877,0.118,True
9002,54,6,1.6312,0.2719,True
9002,55,9,1.2956,0.144,True
9002,56,18,5.0544,0.2808,True
9002,57,13,0.6653,0.0512,True
9002,58,10,0.3307,0.0331,True
9002,59,17,1.4582,0.0858,True
9002,60,38,21.7472,0.5723,True
9002,61,21,1.0899,0.0519,True
9002,62,18,3.513,0.1952,True
9002,63,55,24.6922,0.4489,True
9002,64,13,0.53,0.0408,True
9002,65,27,2.9771,0.1103,True
9002,66,9,1.9458,0.2162,True
9002,67,12,2.2649,0.1887,True
9002,68,9,1.9633,0.2181,True
9002,69,27,13.9167,0.5154,True
9002,70,18,5.519,0.3066,True
9002,71,35,7.9071,0.2259,True
9002,72,6,0.498,0.083,True
9002,73,26,1.272,0.0489,True
9002,74,5,0.536,0.1072,True
