station_id,event_id,duration,severity,intensity,propagated
9126,10,80,22.2659,0.2783,True
9018,68,45,2.0554,0.0457,False
9064,35,124,61.5941,0.4967,True
9064,71,51,12.3281,0.2417,True
9011,65,6,1.2857,0.2143,False
9003,61,35,33.2846,0.951,True
9004,26,14,3.1504,0.225,True
9038,18,17,12.1933,0.7173,True
9004,62,38,11.2091,0.295,False
9050,29,119,46.0954,0.3874,True
9020,6,9,1.7339,0.1927,False
9124,63,28,0.958,0.0342,False
9126,23,47,9.561,0.2034,False
9018,81,25,3.4826,0.1393,True
9064,48,52,13.3324,0.2564,True
9065,13,32,1.6805,0.0525,False
9011,42,83,41.7348,0.5028,True
9002,73,26,1.272,0.0489,True
9003,38,55,16.2691,0.2958,True
9003,74,13,0.7873,0.0606,False
9004,39,8,9.5285,1.1911,False
9050,6,16,2.4487,0.153,True
9038,31,80,32.1434,0.4018,True
9079,69,118,62.6906,0.5313,True
9020,19,34,9.4748,0.2787,True
9018,58,65,8.3158,0.1279,True
9064,25,45,18.6442,0.4143,True
9002,50,16,11.59,0.7244,True
9021,63,20,2.6657,0.1333,True
9096,14,32,3.8994,0.1219,True
9074,75,6,0.3043,0.0507,False
9065,26,13,0.1953,0.015,False
9003,51,40,23.9594,0.599,True
9004,16,29,29.3052,1.0105,True
9063,65,25,16.2826,0.6513,True
9079,46,5,0.2108,0.0422,False
9025,75,16,3.2371,0.2023,False
9036,84,20,1.1495,0.0575,True
9048,58,17,2.1957,0.1292,False
9013,100,45,9.33,0.2073,False
9018,35,14,0.353,0.0252,True
9021,40,13,2.7503,0.2116,False
9018,71,24,6.7963,0.2832,False
9064,38,23,2.2908,0.0996,True
9011,32,73,47.3671,0.6489,True
9002,63,55,24.6922,0.4489,True
9078,58,7,0.4455,0.0636,False
9079,23,96,82.6058,0.8605,True
9025,52,10,0.8231,0.0823,False
9142,79,29,0.3751,0.0129,True
9079,59,16,0.8007,0.05,False
9120,60,9,1.3344,0.1483,True
9005,73,37,11.4899,0.3105,False
9038,21,20,4.8296,0.2415,False
9018,48,57,23.8146,0.4178,True
9064,15,17,5.2006,0.3059,True
9124,66,26,1.8494,0.0711,False
9020,94,19,13.9619,0.7348,True
9078,35,62,17.7303,0.286,True
9004,6,25,7.5898,0.3036,False
9063,55,70,25.9976,0.3714,True
9150,60,106,58.6038,0.5529,True
9142,56,13,3.1173,0.2398,False
9013,54,60,17.7266,0.2954,False
9079,36,6,0.9033,0.1506,True
9036,74,29,12.9375,0.4461,True
9048,48,18,2.2322,0.124,True
9074,42,12,0.805,0.0671,False
9020,71,7,0.1684,0.0241,True
9002,53,55,6.4877,0.118,True
9003,18,18,0.6465,0.0359,True
9063,32,33,12.7785,0.3872,True
9074,78,25,17.7837,0.7113,True
9126,88,7,3.3084,0.4726,False
9078,48,29,8.8695,0.3058,True
9079,13,57,22.4116,0.3932,True
9025,42,24,0.7251,0.0302,True
9063,68,31,22.4019,0.7226,True
9036,51,20,11.6793,0.584,False
9142,69,39,10.244,0.2627,True
9048,25,15,0.8594,0.0573,True
9040,21,8,0.5493,0.0687,False
9005,63,44,4.4688,0.1016,True
9120,50,8,1.5035,0.1879,True
9004,104,13,4.1673,0.3206,True
9018,38,10,0.42,0.042,False
9064,5,12,5.8512,0.4876,False
9124,56,8,1.3474,0.1684,False
9002,30,17,10.9148,0.642,True
9021,43,16,2.498,0.1561,True
9097,38,96,43.1757,0.4497,True
9044,32,9,0.4045,0.0449,False
9063,45,35,12.3187,0.352,True
9142,46,17,3.3088,0.1946,False
9120,27,88,47.4498,0.5392,True
9025,55,403,324.4918,0.8052,True
9036,64,35,1.9289,0.0551,True
9048,38,7,0.7549,0.1078,False
9040,34,57,37.6248,0.6601,True
9005,76,80,25.9568,0.3245,True
9120,63,254,168.5808,0.6637,True
9124,33,142,172.9509,1.218,True
9074,32,7,0.0252,0.0036,True
9020,61,18,5.4079,0.3004,False
9093,45,24,1.3278,0.0553,True
9078,2,45,11.3979,0.2533,True
9097,15,13,6.8903,0.53,False
9002,43,17,0.4961,0.0292,False
9003,8,137,124.6303,0.9097,True
9044,9,12,0.9598,0.08,False
9150,27,32,3.616,0.113,True
9096,56,25,0.2715,0.0109,True
9142,23,27,9.0098,0.3337,True
9126,78,95,33.3107,0.3506,True
9078,38,94,16.0031,0.1702,True
9079,3,9,2.3056,0.2562,True
9118,74,112,45.2069,0.4036,False
9065,68,17,2.6454,0.1556,True
9025,32,88,5.8851,0.0669,True
9044,45,15,4.3009,0.2867,False
9036,41,21,10.6124,0.5054,True
9048,15,19,5.2819,0.278,False
9040,11,69,35.361,0.5125,False
9013,57,16,1.3113,0.082,False
9005,53,55,49.9813,0.9088,False
9004,94,25,9.1237,0.3649,True
9050,61,180,133.3556,0.7409,True
9101,26,349,198.8905,0.5699,True
9093,22,35,5.6227,0.1606,False
9002,20,139,72.9548,0.5249,True
9074,45,20,2.22,0.111,False
9020,74,8,1.0854,0.1357,False
9126,55,14,16.9355,1.2097,True
9078,15,65,52.9549,0.8147,True
9018,113,23,0.9957,0.0433,True
9064,80,38,5.5143,0.1451,True
9044,22,17,2.17,0.1276,False
9063,35,59,34.099,0.5779,True
9036,18,14,1.8079,0.1291,True
9150,40,76,34.9073,0.4593,True
9013,34,20,6.5372,0.3269,False
9120,17,113,57.953,0.5129,True
9065,81,27,12.5388,0.4644,True
9004,71,27,11.4084,0.4225,True
9040,24,11,2.7543,0.2504,False
9124,23,254,253.3358,0.9974,True
9074,22,20,3.6144,0.1807,True
9020,51,16,1.4094,0.0881,False
9126,32,36,2.733,0.0759,False
9063,12,25,4.3516,0.1741,False
9150,17,55,18.7118,0.3402,True
9096,46,49,11.3692,0.232,True
9142,13,5,0.5165,0.1033,False
9126,68,73,16.206,0.222,True
9005,7,17,0.8611,0.0507,False
9065,58,44,41.3122,0.9389,True
9025,22,8,4.6203,0.5775,False
9048,5,30,3.6312,0.121,True
9005,43,151,39.2512,0.2599,False
9120,30,7,0.792,0.1131,False
9004,84,31,3.3408,0.1078,True
9050,51,15,1.598,0.1065,True
9101,16,32,1.7981,0.0562,True
9093,12,38,9.098,0.2394,True
9020,28,33,3.373,0.1022,False
9002,10,38,10.0585,0.2647,True
9096,23,19,0.331,0.0174,True
9126,45,111,40.4033,0.364,True
9078,5,32,10.1825,0.3182,True
9064,70,24,1.6648,0.0694,False
9044,12,56,46.3037,0.8269,True
9036,8,5,1.1806,0.2361,False
9142,26,10,3.1862,0.3186,False
9005,20,44,7.5397,0.1714,True
9120,7,61,59.4449,0.9745,True
9065,71,27,9.0992,0.337,True
9004,61,6,1.8016,0.3003,False
9050,28,126,109.8327,0.8717,True
9074,12,37,13.2819,0.359,True
9020,41,17,1.3972,0.0822,False
9126,22,16,2.787,0.1742,True
9118,18,165,87.5251,0.5305,True
9018,80,8,0.0507,0.0063,False
9150,7,38,7.7422,0.2037,True
9021,85,8,2.162,0.2703,False
9096,36,49,18.0614,0.3686,True
9142,3,49,14.024,0.2862,True
9064,83,25,4.2559,0.1702,True
9065,48,9,2.4137,0.2682,False
9011,77,70,24.5213,0.3503,True
9003,73,10,1.8204,0.182,True
9038,30,20,2.3512,0.1176,True
9079,68,36,28.4722,0.7909,True
9101,6,5,0.1551,0.031,False
9096,13,19,0.3093,0.0163,True
9018,93,45,33.052,0.7345,False
9064,60,85,43.6808,0.5139,True
9065,25,32,18.9782,0.5931,True
9005,10,85,5.4992,0.0647,True
9004,51,78,23.56,0.3021,True
9050,18,26,4.0014,0.1539,True
9013,99,61,23.2414,0.381,False
9038,43,45,13.7649,0.3059,True
9013,135,136,43.9419,0.3231,True
9074,2,15,1.253,0.0835,True
9126,12,12,5.1489,0.4291,False
9064,37,33,7.7521,0.2349,False
9096,26,7,3.9283,0.5612,False
9065,38,5,0.6097,0.1219,False
9003,63,13,0.7761,0.0597,False
9004,28,43,7.2982,0.1697,True
9063,77,18,3.7132,0.2063,True
9038,20,73,17.75,0.2432,True
9079,58,46,3.9369,0.0856,True
9018,47,22,1.1245,0.0511,True
9064,50,6,0.1664,0.0277,True
9065,15,24,8.9318,0.3722,True
9002,75,6,0.4863,0.081,False
9003,40,21,5.3175,0.2532,True
9079,35,80,38.539,0.4817,True
9003,76,6,0.3162,0.0527,True
9004,41,32,8.2837,0.2589,True
9050,8,29,16.774,0.5784,True
9036,73,41,25.3416,0.6181,True
9013,89,94,20.6029,0.2192,False
9126,2,54,17.095,0.3166,True
9018,60,15,0.4469,0.0298,False
9064,27,16,15.2117,0.9507,False
9002,52,47,10.9966,0.234,True
9074,77,10,2.9075,0.2908,False
9065,28,41,19.2449,0.4694,True
