event_number,start_dt,end_dt,duration_months,mean_spi12,area_pct,dur_check,clip_s,clip_e,months,n_ebro_chains
16,1965-02-01,1965-10-01,9.0,-1.28,48.0,9,1965-02-01,1965-10-01,9,8
17,1967-04-01,1968-01-01,10.0,-1.23,27.0,10,1967-04-01,1968-01-01,10,4
18,1970-10-01,1971-03-01,6.0,-1.47,54.0,6,1970-10-01,1971-03-01,6,4
19,1973-10-01,1974-02-01,5.0,-1.24,36.0,5,1973-10-01,1974-02-01,5,5
20,1974-12-01,1975-08-01,9.0,-1.17,27.0,9,1974-12-01,1975-08-01,9,1
21,1975-11-01,1976-09-01,11.0,-1.23,30.0,11,1975-11-01,1976-09-01,11,2
22,1980-10-01,1982-09-01,24.0,-1.33,49.0,24,1980-10-01,1982-09-01,24,23
23,1982-12-01,1984-02-01,15.0,-1.35,41.0,15,1982-12-01,1984-02-01,15,8
24,1985-11-01,1986-09-01,11.0,-1.38,41.0,11,1985-11-01,1986-09-01,11,21
25,1986-12-01,1987-09-01,19.0,-1.26,23.0,10,1986-12-01,1987-09-01,10,17
26,1989-01-01,1989-11-01,11.0,-1.4,39.0,11,1989-01-01,1989-11-01,11,28
27,1990-12-01,1991-02-01,3.0,-1.18,46.0,3,1990-12-01,1991-02-01,3,18
28,1991-08-01,1993-05-01,22.0,-1.33,38.0,22,1991-08-01,1993-05-01,22,28
29,1993-06-01,1995-12-01,31.0,-1.46,48.0,31,1993-06-01,1995-12-01,31,43
30,1998-12-01,2000-03-01,16.0,-1.32,51.0,16,1998-12-01,2000-03-01,16,14
31,2001-12-01,2002-10-01,11.0,-1.45,43.0,11,2001-12-01,2002-10-01,11,38
32,2004-11-01,2006-08-01,22.0,-1.52,61.0,22,2004-11-01,2006-08-01,22,31
33,2007-01-01,2007-03-01,3.0,-1.49,23.0,3,2007-01-01,2007-03-01,3,9
34,2007-11-01,2008-09-01,11.0,-1.27,30.0,11,2007-11-01,2008-09-01,11,18
35,2009-05-01,2009-11-01,7.0,-1.36,41.0,7,2009-05-01,2009-11-01,7,3
36,2011-10-01,2012-12-01,15.0,-1.5,63.0,15,2011-10-01,2012-12-01,15,40
37,2014-04-01,2014-09-01,6.0,-1.51,25.0,6,2014-04-01,2014-09-01,6,3
38,2015-09-01,2016-10-01,14.0,-1.33,34.0,14,2015-09-01,2016-10-01,14,18
39,2017-02-01,2018-03-01,14.0,-1.45,55.0,14,2017-02-01,2018-03-01,14,27
40,2019-03-01,2020-02-01,12.0,-1.32,43.0,12,2019-03-01,2020-02-01,12,11
